School ID,School Name,ZIP,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Reading Growth African American,Reading Growth Hispanic,Reading Growth White,Reading Growth Students with Disabilities,Reading Growth English Language Learners,Reading Growth Free and Reduced Lunch,Math Growth African American,Math Growth Hispanic,Math Growth White,Math Growth Students with Disabilities,Math Growth English Language Learners,Math Growth Free and Reduced  Lunch,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year
609828,Jonathan Burr Elementary School,60622,0,Scantron,Above Average,55.10%,58.30%,33.30%,71%,54.20%,42.90%,53.60%,54.10%,54.20%,72.20%,74.20%,54.20%,42.90%,39.30%,56.20%,Above Average,56.80%,45.80%,61.10%,45.20%,50%,54.50%,46.40%,49.70%,58.30%,83.30%,61.30%,54.20%,54.50%,75%,63.90%,,51.80%,,,,55.50%,,57.10%,,,,58.60%,Organized,Strong,Strong,Neutral,Neutral,Neutral,Strong,93.30%,,1.5,,95.90%,94.80%,96.90%,97.40%,Yes,No,
609829,John C Burroughs Elementary School,60632,0,NWEA,Far Above Average,70.10%,59.60%,53.30%,87.50%,63%,73.30%,67.70%,67.60%,78.30%,78.30%,78%,50%,77.30%,74.20%,72.60%,Above Average,63%,66%,50%,63.50%,69.60%,60%,69.70%,62.80%,73.90%,50%,76.90%,67.40%,45.70%,63.60%,63.20%,,67.90%,,,,67.50%,,73.60%,,,,72.40%,Organized,Strong,Weak,Neutral,Strong,Strong,Neutral,,100%,,2.3,95.60%,95.10%,96.10%,96.30%,Yes,No,
609830,Milton Brunson Math & Science Specialty ES,60651,10,Scantron,Below Average,44%,44.60%,37.30%,45.60%,53.20%,53.80%,43.20%,45.50%,50.90%,45.80%,38.60%,54%,28.20%,31.80%,42.40%,Far Below Average,22.20%,16.10%,17.80%,24.10%,37.70%,18.40%,28.10%,23.30%,21%,21.50%,20%,32.10%,4.10%,25.40%,21.10%,45.80%,,,58.10%,,45.40%,42.20%,,,48.40%,,42.70%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Weak,72.30%,81.30%,2.4,2.9,91.30%,90.80%,95%,95%,No,No,
609832,Michael M Byrne Elementary School,60638,0,Scantron,Above Average,66.70%,65.40%,58.20%,56.60%,70.40%,65.80%,69.90%,64.50%,78%,64.60%,69.50%,72.50%,64.80%,66.30%,68.90%,Above Average,59.10%,51.90%,59.40%,43.50%,61.40%,69.60%,55.80%,57%,55.60%,59.40%,63.10%,63.10%,75.30%,50%,61.20%,,62.70%,66.10%,57.40%,,58.70%,,67.40%,70.20%,74.10%,,64.90%,Organized,Strong,Neutral,Neutral,Neutral,Neutral,Strong,14.40%,14.60%,1.7,2,94.60%,95.40%,95.80%,95.90%,No,No,
609833,Charles P Caldwell Academy of Math & Science ES,60617,5,Scantron,Below Average,44.70%,31%,27.30%,52.60%,37.50%,57.70%,65.60%,47.30%,34.50%,30.40%,72.20%,46.40%,31.40%,53.10%,42%,Below Average,33.20%,37.90%,18.50%,34.80%,14.70%,29.30%,48.60%,30.60%,30%,18.50%,47.60%,26.70%,40.40%,47.20%,35.80%,48.10%,,,35.10%,,48.40%,41.90%,,,22.50%,,42.40%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Weak,97%,83.80%,3.1,2.3,92.70%,91.70%,94.70%,93.60%,No,No,
609834,Little Village Elementary School,60623,0,Scantron,Average,49.40%,37.50%,51.40%,44.30%,63.30%,53.80%,50%,48.60%,49%,56.80%,36.70%,49%,48.10%,65.50%,50.10%,Below Average,37.40%,24%,37.30%,27.80%,40%,45.70%,34.50%,34.20%,30.20%,32%,40%,42%,51.30%,53.40%,40.50%,,48.40%,,31.30%,40.80%,48.70%,,50.10%,,37.50%,38.80%,50.20%,Organized,Neutral,Neutral,Strong,Neutral,Neutral,Neutral,46.20%,54.20%,3.3,2.8,96.70%,96%,96.70%,96%,No,No,
609885,Dewey Elementary Academy of Fine Arts,60609,5,NWEA,Not Enough Data,,,,,,,,,,,,,,,,Far Below Average,12.70%,20.80%,7.10%,0%,13.80%,6.70%,15.40%,11.10%,17.90%,10.70%,22.20%,6.70%,21.40%,5.90%,14.10%,,,,,,,,,,,,,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Weak,75.40%,86.80%,2.6,2.5,90.70%,86.20%,95.50%,95.20%,No,No,
609835,Daniel R Cameron Elementary School,60651,6,Scantron,Above Average,67.10%,38.80%,50.70%,70.80%,66.70%,55.90%,65.90%,57.60%,69.40%,64.10%,79.70%,92.30%,80.30%,72.10%,76.50%,Below Average,41.90%,26.80%,23.60%,34.30%,29.90%,31.70%,43.80%,30.90%,34.70%,42.60%,63.90%,69.30%,54%,50.90%,52.70%,51.30%,62.30%,,19.50%,60.50%,57.30%,72.10%,79.30%,,88.20%,69%,76.70%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Weak,31.30%,64.10%,2.2,2.5,92.60%,94.30%,96.20%,96.10%,No,No,
609836,Arthur E Canty Elementary School,60634,0,Scantron,Above Average,58.10%,63.30%,56.80%,51.90%,58.60%,59.30%,58.30%,58.20%,59.20%,58.90%,53.10%,60.60%,63%,54.20%,58.10%,Above Average,65.40%,50%,55.30%,48.20%,68%,61.80%,62.50%,57.40%,60%,77.30%,74.70%,75%,76.40%,81.90%,73.40%,,57%,60.90%,46.40%,,54.40%,,51.70%,62%,53.60%,,58.50%,Organized,Strong,Strong,Neutral,Neutral,Weak,Strong,9.10%,33.30%,3.5,2.4,96.10%,96.30%,96.10%,96.40%,No,No,
609837,Andrew Carnegie Elementary School,60637,2,NWEA,Average,46.40%,41.40%,50%,54.40%,52.60%,35.10%,51.30%,48%,56.80%,48.50%,47.90%,37.50%,31.60%,45.50%,45%,Below Average,39.10%,38.80%,59.40%,35.50%,51.30%,44.40%,46.30%,45.80%,35%,46.40%,27.80%,25.60%,21.90%,38.30%,32.50%,48%,,,,,47.10%,44.50%,,,,,44.20%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,75.50%,72.70%,3.5,3.7,94.60%,94.10%,94.40%,94.80%,No,No,
609839,Carroll-Rosenwald Specialty Elementary School,60652,0,Scantron,Above Average,59.70%,64%,42.60%,59.60%,63.80%,71.70%,65.50%,61%,76%,51.70%,43.10%,64.40%,53.30%,64.30%,58.30%,Below Average,39.10%,47.40%,36.40%,23.40%,35.50%,40.60%,42.60%,37.40%,42.10%,47.70%,35.90%,31.70%,37.50%,50%,40.80%,61.90%,,,52.80%,,62.80%,57.90%,,,57.70%,,58%,Not Yet Organized,Neutral,Weak,Weak,Weak,Weak,Weak,52.60%,42.90%,2.1,2.1,94.80%,94.40%,95.60%,95.60%,No,No,
609842,Rachel Carson Elementary School,60629,0,NWEA,Above Average,64.10%,64.20%,55%,63.80%,68.70%,62.60%,53.50%,61.50%,71.70%,60%,63.60%,64.70%,65.70%,76.50%,66.80%,Average,45.40%,42.10%,32.80%,50.50%,52.10%,55%,55.70%,47.30%,38.30%,32.30%,36.70%,52.10%,42%,59.80%,43.40%,,62.50%,,71.90%,59.90%,61.30%,,66.50%,,72.70%,63.10%,67.10%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Neutral,17.30%,22.10%,3.1,2.9,97.60%,96.20%,97.70%,98.20%,No,No,
609844,William W Carter Elementary School,60637,6,Scantron,Below Average,44.80%,51.30%,27.30%,54.50%,48.10%,48.30%,35.10%,44.50%,64.10%,22.60%,60%,29.60%,43.30%,38.50%,45%,Far Below Average,29.40%,36.40%,8.30%,13%,29%,37.50%,24.40%,24.30%,36.40%,12.10%,43.50%,40.60%,30.30%,38.60%,34.50%,44.70%,,,,,44.20%,45.20%,,,,,44.70%,Partially Organized,Not Enough Data,Weak,Neutral,Not Enough Data,Not Enough Data,Very Weak,65.70%,62.40%,3.5,4.1,91.20%,91.90%,95.90%,94.90%,No,No,
609845,George Washington Carver Primary School,60827,5,Scantron,Average,47.30%,58.20%,41.20%,65.10%,48.20%,35.10%,55.30%,50.90%,57.70%,46%,60.50%,29.10%,27%,40%,43.60%,Far Below Average,24.30%,29.30%,20.80%,16.70%,17.50%,18.20%,38%,23.50%,27.60%,28.30%,31.30%,14%,20%,30%,25.10%,50.90%,,,33.30%,,51%,43.60%,,,34.40%,,43.80%,Not Yet Organized,Weak,Weak,Weak,Neutral,Neutral,Neutral,46.90%,38%,4.1,4.2,90.90%,91.20%,94.70%,94.80%,No,No,
609848,Ira F Aldridge Elementary School,60827,6,Scantron,Below Average,38.50%,33.30%,25%,42.90%,56%,61.40%,52.20%,46.30%,23.10%,17.90%,17.90%,56%,34.90%,34.80%,30.60%,Far Below Average,19.80%,17.20%,9.40%,31%,25.90%,25.50%,25%,22.30%,7.10%,9.40%,20.70%,29.60%,17.40%,20.80%,17.20%,46.30%,,,,,46.20%,30.60%,,,,,31%,Well-organized,Neutral,Neutral,Strong,Strong,Strong,Weak,90.50%,98.80%,3.3,3.4,92.90%,91.90%,96.30%,94.90%,No,No,
609849,George F Cassell Elementary School,60655,0,NWEA,Above Average,60.10%,41.90%,53.30%,62.20%,80%,51.60%,65.20%,59%,57.10%,50%,37.80%,74.30%,73.30%,73.30%,61.20%,Above Average,59.10%,55.80%,62.50%,59.50%,63.90%,77.40%,71.70%,64.90%,64.30%,50%,40.50%,41.70%,60%,60%,53.20%,,,59.50%,55.60%,,53.80%,,,62.90%,51.10%,,64.10%,Well-organized,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,76.20%,59.40%,2.3,2.3,94.40%,94.90%,95.10%,94.20%,No,No,
610213,James Wadsworth Elementary School,60637,6,Scantron,Below Average,41%,58.30%,25%,33.30%,,,,37.50%,40%,39.30%,51.40%,,,,44.40%,Far Below Average,25%,48%,25%,16.70%,,,,28.10%,19.20%,10.70%,32.40%,,,,22%,37.90%,,,,,37.50%,43.80%,,,,,44.40%,Not Yet Organized,Weak,Not Enough Data,Not Enough Data,Very Weak,Weak,Not Enough Data,61.50%,58.60%,1.7,1.7,92.20%,90.80%,95.50%,95.60%,No,No,
609850,Horace Greeley Elementary School,60613,0,Scantron,Above Average,56.90%,35.20%,67.20%,52.90%,57.10%,60%,66%,56.50%,59.30%,70.20%,46.80%,49.10%,53.30%,63%,57.40%,Above Average,58%,41.10%,57.60%,36.50%,42.90%,64.40%,64.80%,50.90%,58.20%,60.30%,51.10%,60.70%,77.80%,83.60%,65.20%,52.20%,56.80%,,37.50%,39.10%,55.90%,57.40%,56%,,45.20%,61.90%,56.90%,Well-organized,Strong,Neutral,Neutral,Strong,Strong,Strong,70.60%,24.10%,2.8,3.6,95.90%,96%,96%,96.40%,No,No,
609851,Thomas Chalmers Specialty Elementary School,60608,6,Scantron,Average,51.50%,48.60%,41.20%,51.60%,53.60%,65.40%,71.40%,54.30%,52.80%,62.50%,34.50%,51.70%,38.50%,64.30%,48.70%,Far Below Average,25.10%,38.50%,19%,22.60%,6.90%,40%,29.40%,26.90%,20%,33.30%,10%,10%,33.30%,47.10%,23.20%,54%,,,,,54.70%,49%,,,,,49%,Well-organized,Strong,Strong,Strong,Very Strong,Strong,Neutral,,91.70%,,2.4,94.40%,96.40%,97.30%,97.60%,Yes,No,
609852,Eliza Chappell Elementary School,60625,0,Scantron,Above Average,61.90%,64.30%,52.20%,40.90%,59.50%,64.50%,68.80%,59.90%,55.80%,52.20%,72.70%,54.10%,64.50%,87.50%,63.80%,Above Average,62.90%,61.40%,58.30%,39.10%,45.90%,80.60%,63.60%,58.90%,51.10%,66.70%,73.90%,54.10%,77.40%,87.90%,66.80%,,59.40%,,52.80%,,56.40%,,62.70%,,63.90%,,63.60%,Well-organized,Strong,Very Strong,Strong,Strong,Strong,Strong,52.90%,72.20%,4,1.8,95.10%,92.70%,96.70%,96.40%,Pending,No,
609853,Salmon P Chase Elementary School,60647,0,Scantron,Above Average,60.80%,65.20%,48.30%,64.10%,54.80%,57.80%,67.60%,60.10%,78.70%,36.70%,48.60%,58.30%,67.40%,69.40%,61.60%,Below Average,44.80%,37.50%,33.30%,25%,37.80%,44.70%,51.20%,38.40%,45.80%,43.30%,45.50%,50%,54.20%,67.50%,51.20%,,59.20%,,,56.10%,60.30%,,61.70%,,,67.50%,61.90%,Organized,Neutral,Strong,Neutral,Neutral,Strong,Neutral,38.30%,44.70%,2.3,1.9,95.40%,93.20%,95.80%,95.80%,Pending,No,
609854,Frederic Chopin Elementary School,60622,0,Scantron,Far Above Average,73.40%,66.70%,95.80%,31.80%,76.90%,65.50%,85.70%,70.50%,76%,95.80%,36.40%,92.30%,79.30%,71.40%,76.20%,Average,53.30%,20%,64%,16.70%,65.50%,48.30%,57.10%,45.80%,16%,92%,20.80%,93.10%,58.60%,81%,60.80%,,71.10%,,,,70.70%,,74.40%,,,,75.90%,Well-organized,Strong,Very Strong,Very Strong,Very Strong,Very Strong,Strong,,,,,96.90%,95.70%,96%,97.60%,Yes,No,
609855,Walter S Christopher Elementary School,60632,0,Scantron,Above Average,61.80%,,61.10%,61.10%,64.70%,81.80%,62.50%,64.40%,40%,61.10%,78.90%,64.70%,36.40%,56.30%,59.30%,Average,45.30%,,16.70%,44.40%,35.30%,50%,56.30%,40.90%,40%,21.10%,73.70%,47.10%,58.30%,56.30%,49.50%,,64.40%,,,,63.10%,,64.90%,,,,59.10%,Organized,Strong,Neutral,Weak,Very Strong,Strong,Strong,9.10%,34.60%,1,3.3,86.10%,84.60%,94.10%,93.90%,No,No,
609856,Henry Clay Elementary School,60633,1,Scantron,Above Average,56.10%,44.40%,51.60%,58.90%,66.70%,31.40%,55.60%,51.80%,63.60%,61.90%,40.70%,81.60%,48%,68.30%,60.40%,Below Average,35.40%,13.30%,27.30%,33.30%,34.60%,26.90%,34.80%,29%,35.60%,42.40%,31.10%,48%,37.30%,54.50%,41.90%,,50%,56.90%,38.10%,53.30%,50.80%,,61.80%,53.10%,46.50%,56.70%,59.20%,Partially Organized,Not Enough Data,Weak,Neutral,Not Enough Data,Not Enough Data,Neutral,84.60%,77.10%,4.6,4.6,95.20%,93%,96.10%,95.50%,No,No,
609857,Grover Cleveland Elementary School,60618,0,Scantron,Above Average,58.90%,66.70%,52.10%,59.50%,49.20%,41.90%,57.10%,54%,76.60%,47.90%,54.80%,75.40%,62.90%,64.70%,63.70%,Average,53.80%,45.30%,48.60%,38.10%,47.50%,46.20%,46.20%,45.80%,56.90%,54.10%,59.50%,78.70%,59.10%,63%,61.60%,,51.40%,,30.40%,59.30%,53.10%,,61.70%,,42.10%,68.30%,63.50%,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Neutral,71.40%,59%,2.6,1.8,95%,95.10%,96.30%,97.10%,No,No,
609859,DeWitt Clinton Elementary School,60659,0,Scantron,Above Average,68.60%,63.20%,63.90%,53.10%,64.40%,80.80%,64.70%,64.60%,71.60%,72.20%,77.30%,83.30%,90.90%,46.60%,72.60%,Above Average,59.20%,52.80%,45.70%,46.20%,46.90%,79.10%,53.80%,53.70%,54.20%,58%,64.40%,55.20%,93.20%,65.50%,64.70%,53.20%,65.10%,66.30%,,67.50%,64.60%,69.50%,62.50%,79%,,69.60%,71.20%,Well-organized,Strong,Very Strong,Very Strong,Strong,Strong,Very Strong,36.70%,23.30%,2.1,2.4,95.30%,95.10%,95.40%,94.40%,No,No,
610215,Francisco I Madero Middle School,60623,0,Scantron,Average,48.90%,,,,50.60%,45.50%,59.80%,51.80%,,,,32.90%,46.50%,59%,46.10%,Below Average,40.80%,,,,35.20%,40.40%,36%,37.20%,,,,42%,46.10%,45.30%,44.50%,,51.80%,,,,51.80%,,46.40%,,,,46%,Moderately Organized,Weak,Neutral,Strong,Neutral,Neutral,Neutral,68.60%,51.90%,3.7,4.2,95.10%,95.30%,97%,95.90%,Yes,No,
609861,Henry R Clissold Elementary School,60643,0,NWEA,Above Average,67.30%,75%,64.60%,72.40%,65.70%,66%,64.50%,67.70%,61.70%,68.80%,73.70%,73.10%,71.20%,52.50%,67%,Above Average,57.30%,72.90%,58.20%,63.90%,56.20%,54.50%,58.70%,60.20%,70.80%,62.10%,51.70%,52.10%,47.40%,45.20%,54.40%,65.50%,,75.30%,72%,,67.90%,64.50%,,75%,66.70%,,67.90%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Neutral,95.80%,65.20%,1.5,2.1,95.10%,95.80%,96.90%,96.50%,No,No,
609862,Edward Coles Elementary Language Academy,60617,0,Scantron,Above Average,59.90%,52.60%,57.40%,54.70%,53.40%,37.30%,49%,51.30%,93%,79%,62.70%,58.60%,53.80%,63.50%,68.50%,Below Average,43.30%,41.40%,30.80%,22.40%,23.30%,22.60%,30.90%,28.30%,79.30%,72.30%,51.30%,53.30%,49.10%,43.60%,58.30%,50.60%,,,49%,,51.30%,68.50%,,,68.80%,,68.80%,Partially Organized,Not Enough Data,Weak,Neutral,Not Enough Data,Not Enough Data,Weak,75.50%,63.20%,2.8,2.5,95.10%,96.30%,95%,96%,No,No,
609863,Christopher Columbus Elementary School,60622,0,Scantron,Above Average,58.40%,77.30%,34.60%,68.20%,47.80%,56%,63.60%,57.60%,70.80%,29.60%,86.40%,69.60%,58.30%,50%,59.20%,Above Average,57.90%,50%,40.70%,45.50%,36%,56%,54.50%,47.40%,64%,48.10%,87%,59.30%,84%,69.70%,68.10%,,51.30%,70%,,,56.30%,,53.20%,66.10%,,,60.50%,Partially Organized,Not Enough Data,Neutral,Weak,Not Enough Data,Not Enough Data,Neutral,45.50%,50%,2.8,2.4,95.50%,94.50%,96.90%,95.50%,No,No,
609864,John W Cook Elementary School,60620,0,Scantron,Above Average,56.40%,52%,58.30%,52.80%,63.20%,57.60%,60.50%,57.60%,67.30%,39.50%,41%,73.20%,44.10%,52.90%,55.20%,Below Average,30.60%,18.20%,10%,22.50%,27.90%,43.60%,23.10%,24.10%,25.90%,16.30%,34.10%,42.40%,53.80%,57.10%,37.30%,57.40%,,,36.70%,,57.60%,55.40%,,,44.10%,,55.20%,Partially Organized,Weak,Neutral,Neutral,Neutral,Neutral,Very Weak,97.90%,92.90%,2.2,2.8,94%,92.40%,94%,94.40%,No,No,
609865,Jordan Elementary Community School,60626,0,Scantron,Above Average,67.30%,60%,61.80%,71.70%,71.20%,40.70%,55.40%,60.20%,62.50%,69.60%,93.30%,68.30%,65.50%,87.30%,74.30%,Below Average,38.90%,28.40%,20.80%,29.50%,34.40%,29%,42.40%,30.30%,24.60%,42.90%,56.50%,67.20%,39.30%,57.60%,47.70%,54.70%,63.80%,,57.50%,72.90%,59.90%,74.30%,72.30%,,57.50%,75%,73.90%,Partially Organized,Neutral,Neutral,Neutral,Weak,Neutral,Neutral,62.70%,52.10%,2.4,2.4,95.60%,95.50%,95.10%,94.40%,No,No,
609866,John C Coonley Elementary School,60618,0,Scantron,Above Average,56%,62.70%,61.30%,46.90%,68.20%,55%,45.50%,59.10%,59%,58.70%,46.90%,47.60%,31.60%,36.40%,52.80%,Far Above Average,74.40%,72.30%,80%,60.60%,63.60%,65%,66.70%,71.10%,79.50%,81.50%,84.80%,71.40%,57.90%,66.70%,77.70%,,57.50%,65%,52.90%,,53.90%,,43.30%,63.40%,58.80%,,42.20%,Well-organized,Very Strong,Strong,Strong,Strong,Neutral,Very Strong,,80%,,1.3,95.90%,93.80%,96.50%,96.50%,Yes,No,
609867,Peter Cooper Elementary Dual Language Academy,60608,0,Scantron,Average,50.90%,41.90%,60%,38.60%,,,,47.10%,53.20%,67.50%,43.40%,,,,54.70%,Below Average,36.40%,34.90%,27.70%,25.60%,,,,28.90%,44.40%,47%,40.70%,,,,44%,,47.50%,,,48.10%,46.80%,,54.80%,,,56.80%,55%,Organized,Neutral,Not Enough Data,Not Enough Data,Neutral,Strong,Not Enough Data,43.90%,44.20%,1.2,1.2,96.20%,94.10%,96.30%,96.10%,No,No,
609869,Anna R. Langford Community Academy,60636,13,Scantron,Average,45.30%,58.30%,40%,56.30%,53.60%,50%,38.50%,48.80%,47.80%,33.30%,31.30%,48.10%,45.50%,46.20%,41.80%,Far Below Average,24.90%,33.30%,22.20%,21.20%,17.20%,20.80%,20%,22.20%,29.60%,35.70%,21.20%,31%,25%,25%,27.60%,48.80%,,,,,48.50%,41.80%,,,35.50%,,42.50%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Neutral,93.90%,96.10%,1.5,1.4,91.80%,92.30%,95.40%,95.30%,No,No,
609870,Daniel J Corkery Elementary School,60623,1,Scantron,Average,47.30%,44.10%,42.60%,52.20%,49%,46%,66.10%,50.10%,55.90%,43.40%,29%,51.10%,34%,56.40%,44.40%,Below Average,34.40%,25.40%,32.70%,26.40%,30%,39.60%,25.90%,29.70%,37.30%,46.30%,30.60%,43.80%,35.80%,44.60%,39.20%,45.20%,51%,,44.10%,39.60%,49.80%,37.50%,46.50%,,32.40%,47.20%,45%,Partially Organized,Not Enough Data,Weak,Very Weak,Not Enough Data,Not Enough Data,Weak,37.40%,36.80%,4.9,2.5,94.70%,94.20%,97.20%,96.60%,No,No,
609872,Manuel Perez Elementary School,60608,0,NWEA,Far Above Average,71%,51.90%,73%,67.60%,73.50%,51.90%,60.50%,64%,82.80%,86.50%,70.60%,55.90%,85.20%,86.80%,77.90%,Below Average,42.80%,53.60%,52.50%,47.10%,40.50%,39.30%,35.90%,44.70%,56.70%,47.50%,32.40%,29.70%,32.10%,46.20%,40.90%,,64.10%,,,58.50%,64%,,77.80%,,,86.40%,77.90%,Well-organized,Strong,Neutral,Neutral,Very Strong,Very Strong,Neutral,54.30%,50%,3,3.4,95.90%,93.20%,96.60%,96.40%,Yes,No,
609873,Crown Community Academy of Fine Arts Center ES,60623,9,Scantron,Average,50%,37.10%,54.20%,36.40%,46.40%,86.40%,64%,52.60%,34.40%,38.10%,37.50%,55.20%,55%,65.40%,47.40%,Far Below Average,28.10%,17.50%,23.10%,16.70%,28.10%,37.50%,27.60%,24.30%,28.20%,19.20%,31.30%,37.50%,41.70%,34.50%,31.90%,53.70%,,,,,52.60%,47.30%,,,,,47.30%,Organized,Neutral,Neutral,Strong,Neutral,Neutral,Neutral,31.50%,55.50%,1.9,3,92.50%,90.60%,96.70%,96.40%,No,No,
609874,Everett McKinley Dirksen Elementary School,60656,0,NWEA,Average,49.50%,45.20%,48.60%,49.20%,54.30%,50%,44.20%,48.70%,43.70%,57.50%,46.60%,65.20%,45.20%,40.40%,50.40%,Average,53.30%,50%,50.60%,54.10%,54.80%,60.30%,44.40%,52.60%,48.70%,52.60%,60.70%,67.10%,64.70%,25.90%,54.10%,,47%,50.90%,52.70%,51.60%,50.90%,,44.60%,50.50%,42.90%,48.40%,50.20%,Organized,Neutral,Neutral,Weak,Strong,Strong,Neutral,78.30%,69.20%,1.7,2.3,95.90%,95.50%,96.20%,95.70%,No,No,
609875,Charles R Darwin Elementary School,60647,1,NWEA,Above Average,63.90%,70.20%,64.30%,84.60%,42.50%,52.90%,40.90%,58.70%,92.50%,55.80%,72%,55.80%,44%,83.60%,69%,Below Average,37.80%,40%,31.10%,58.50%,47.50%,21.20%,45.60%,40.90%,50.90%,26.70%,49%,25.60%,13.70%,38.20%,34.70%,56.30%,59.50%,,38.50%,59.30%,59.20%,56.30%,70.80%,,64.10%,72.40%,68.90%,Partially Organized,Neutral,Neutral,Neutral,Weak,Neutral,Strong,13.70%,36.90%,2.1,1.6,95.60%,93.60%,96.20%,95.80%,Yes,No,
609876,Nathan S Davis Elementary School,60632,0,Scantron,Average,48.60%,50.70%,30.80%,46.90%,58.50%,55.10%,53.10%,49.60%,40.60%,22.90%,45.20%,70%,45.90%,59.60%,47.50%,Below Average,31%,21.30%,17.50%,15.20%,27.90%,37%,34.80%,25%,22.70%,30.20%,36.50%,53.80%,36.90%,49%,37.50%,,50.10%,,,53.20%,49.30%,,47.80%,,,36.40%,47.30%,Organized,Neutral,Neutral,Strong,Neutral,Strong,Neutral,28%,20.80%,1.6,2,95.10%,93%,95.90%,95.20%,Yes,No,
609879,Charles Gates Dawes Elementary School,60652,1,NWEA,Above Average,65.40%,76.90%,63.80%,71.60%,71.40%,67.60%,58.60%,68.70%,67.60%,62.10%,63.30%,74%,55.10%,49.40%,62.10%,Average,47.10%,50.50%,49%,48.20%,48.50%,54.90%,62.90%,52.10%,34.50%,37.60%,42%,51.50%,38.10%,51.70%,42.10%,70.50%,67.80%,,68.10%,61.80%,68.80%,55%,64.30%,,69.10%,70.60%,62.80%,Organized,Strong,Weak,Neutral,Very Strong,Very Strong,Neutral,18.10%,83.70%,2.6,2.7,95.70%,95.10%,95.60%,95%,No,No,
609880,Stephen Decatur Classical Elementary School,60645,0,Scantron,Above Average,59.60%,51.70%,50.80%,75.90%,60.70%,,,60.90%,79.30%,49.20%,58.60%,55.20%,,,58.30%,Far Above Average,99.40%,100%,98.30%,100%,100%,,,99.40%,100%,98.30%,100%,100%,,,99.40%,,61.30%,54.40%,,,73%,,51.60%,57.40%,,,52.60%,Well-organized,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,,,,,96.20%,96.60%,95.40%,95.80%,No,No,
609881,Edward C Delano Elementary School,60624,0,Scantron,Above Average,62%,53.60%,57.10%,76.50%,55.90%,57.10%,92.30%,63.70%,51.70%,56.30%,64.70%,58.10%,63.60%,70.40%,60.40%,Average,46%,31.30%,32.50%,50%,40%,53.30%,72.40%,45.10%,30%,45.90%,33.30%,40.60%,61.80%,63.30%,47%,63.20%,,,,,63.70%,59.80%,,,,,60.40%,Moderately Organized,Neutral,Strong,Strong,Weak,Weak,Weak,59.30%,71%,2.8,3.7,93.40%,92.90%,94.70%,96.10%,No,No,
609883,Charles S Deneen Elementary School,60619,6,NWEA,Average,52.60%,52.40%,44.70%,58.50%,45.10%,50%,38.60%,48.10%,77.80%,40.50%,48.80%,62%,49%,61.40%,57.10%,Far Below Average,23.80%,34%,25.60%,37.80%,20%,25%,16.70%,26.20%,34.60%,19%,22.20%,13.30%,19.60%,20.40%,21.40%,47.60%,,,46.90%,,47.30%,58.20%,,,65.70%,,57.10%,Partially Organized,Neutral,Neutral,Neutral,Weak,Weak,Neutral,60.10%,82.50%,2.8,2.7,93.80%,94.30%,97.10%,96.90%,No,No,
